;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
1030;Iridium Next 145;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1031;Iridium Next 146;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1032;Iridium Next 147;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1033;Iriidium Next 148;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1034;Iridium Next 149;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1035;Iridium Next 150;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1036;Iridium Next 151;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2017;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1037;Iridium Next 152;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1038;Iridium Next 153;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2017;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1039;Iridium Next 154;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1040;Iridium Next 155;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1041;Iridium Next 156;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1042;Iridium Next 157;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1043;Iridium Next 158;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1044;Iridum Next 159;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1045;Iridium Next 160;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1046;Iridium Next 161;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1047;Iridium Next 162;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1048;Iridium Next 163;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1049;Iridium Next 164;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1050;Iridium Next 165;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1051;Iridium Next 166;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2018;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1052;Iridium Next 167;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1053;Iridium Next 168;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1054;Iridium Next 169;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1055;Iridium Next 170;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1056;Iridium Next 171;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1057;Iridium Next 172;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1058;Iridium Next 173;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1059;Iridium Next 175;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1060;Iridium Next 176;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1061;Iridium Next 180;USA;Iridium Communications, Inc.;Government/Commercial;Communications;;LEO;860.0;678;2019;15.0;Thales Alenia Space/Orbital ATK;France/Italy/USA;Falcon 9;;USA;ROW;USA;communication_and_positionning
1062;IRIS;USA;National Aeronautics and Space Administration (NASA);Government;Space Science;;LEO;236.0;678;2013;2.0;Lockheed Martin Space Systems Advanced Technology Center (ATC);USA;L1011;Investigate the sun's corona, solar wind and atmosphere;USA;USA;USA;space_science
1063;IRNSS-1A;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;614;2013;12.0;ISRO Satellite Center;India;PSLV;First of a seven-satellite system.;India;India;India;communication_and_positionning
1064;IRNSS-1B;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1432.0;615;2014;12.0;ISRO Satellite Center;India;PSLV;;India;India;India;communication_and_positionning
1065;IRNSS-1C;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;598;2014;12.0;ISRO Satellite Center;India;PSLV-XL;;India;India;USA;communication_and_positionning
1066;IRNSS-1D;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;598;2015;12.0;ISRO Satellite Center;India;PSLV-C27;;India;India;USA;communication_and_positionning
1067;IRNSS-1E;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;598;2016;12.0;ISRO Satellite Center;India;PSLV-XL;;India;India;USA;communication_and_positionning
1068;IRNSS-1F;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;598;2016;12.0;IRSO Satellite Center;India;PSLV-XL;;India;India;USA;communication_and_positionning
1069;IRNSS-1G;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;598;2016;12.0;IRSO Satellite Center;India;PSLV;Final satellite in the seven-satellite regional system.;India;India;India;communication_and_positionning
1070;IRNSS-1I;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning;;GEO;1425.0;598;2018;10.0;IRSO Satellite Center;India;PSLV;;India;India;India;communication_and_positionning
1071;IRS-P6;India;Indian Space Research Organization (ISRO);Government;Earth Observation;Optical Imaging;LEO;1360.0;;2003;5.0;ISRO Satellite Center;India;PSLV C5;Monitor agricultural, land, and water resources.;India;India;USA;earth_observation_and_surveillance
1072;Irvine-1;USA;Irvine Public Schools Foundation;Civil;Technology Development;;LEO;2.0;;2018;;Irvine, CA and Tustin-CA student-built;USA;Electron;Student built.;USA;USA;USA;increase_mission_performance_and_technology
1073;ISARA;USA;NASA Small Satellite Technology Program;Government;Technology Development;;LEO;5.0;;2017;;NASA Small Satellite Technology Program;USA;Nanorack Deployer;;USA;USA;USA;increase_mission_performance_and_technology
1074;iSat;Czech Republic;iSky Technology;Commercial;Communications;ADS-B Receiver;LEO;4.0;;2018;;German Orbital Systems;Germany;Soyuz 2.1a;Carries an ADS-B receiver to track aircraft positions.;EU;EU;Russia;communication_and_positionning
1075;ISX;USA;NASA/CalPoly;Government/Civil;Space Science;;LEO;4.0;;2018;;SRI International/CalPoly;USA;Electron;ISX will study plasma irregularities in the upper atmosphere by measuring its affect on digital TV signals produced on the ground.;USA;USA;USA;space_science
1076;ITU-pSAT1;Turkey;ITU Space Systems Design & Test Laboratory;Civil;Technology Development;;LEO;1.0;;2009;1.0;ITU Space Systems Design & Test Laboratory;Turkey;PSLV;"Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of İTÜ Astronautics Department.";ROW;ROW;India;increase_mission_performance_and_technology
1077;JAISAT-1;Thailand;Radio Amateur Society of Thailand (RAST);Civil;Communications;;LEO;1.0;;2019;;German Orbital Systems;Germany;Soyuz 2.1b;Amateur radio for Thailand.;ROW;EU;Russia;communication_and_positionning
1078;Jason 3;USA/France;National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT;Government;Earth Observation;Earth Science;LEO;553.0;510;2016;5.0;Thales Alenia Space;France;Falcon 9;Monitor sea surface level and wave heights.;Int_coop;EU;USA;earth_observation_and_surveillance
1079;JCSat 10;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;4400.0;1858;2006;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5;30 Ku-band, 12 C-band transponders.;Japan;USA;EU;communication_and_positionning
1080;JCSat 110;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;3531.0;1669;2000;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 44L;"24 Ku-band; voice and video communications to Japan.";Japan;USA;EU;communication_and_positionning
1081;JCSat 13;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;4500.0;;2012;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5 ECA;44 Ku-band transponders.;Japan;USA;EU;communication_and_positionning
1082;JCSat 14;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;4500.0;;2016;15.0;Space Systems/Loral;USA;Falcon 9;;Japan;USA;USA;communication_and_positionning
1083;JCSat 15;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;3400.0;;2016;15.0;Space Systems/Loral;USA;Ariane 5;Will replace N-Sat 110.;Japan;USA;EU;communication_and_positionning
1084;JCSat 16;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;4500.0;;2016;15.0;Space Systems/Loral;USA;Falcon 9;;Japan;USA;USA;communication_and_positionning
1085;JCSat 17;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;5857.0;;2020;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5;;Japan;USA;EU;communication_and_positionning
1086;JCSat18/Kacific 1;Japan/Singapore;Sky Perfect JSAT Corporation/Kacific;Commercial;Communications;;GEO;6956.0;;2019;15.0;Boeing Satellite Systems;USA;Falcon 9;Kacific will take the satellite’s Ka-band capacity, and Sky Perfect JSAT controls the craft’s Ku-band payload.;Int_coop;USA;USA;communication_and_positionning
1087;JCSat 2A;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;2500.0;1460;2002;11.0;Boeing Satellite Systems;USA;Ariane 44L;"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.";Japan;USA;EU;communication_and_positionning
1089;JCSat 9;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;4400.0;;2006;12.0;Lockheed Martin Commercial Space Systems;USA;Zenit 3SL;C-band, Ku-band, and S-band transponders.;Japan;USA;ROW;communication_and_positionning
1090;JCSat RA;Japan;Sky Perfect JSAT Corporation;Commercial;Communications;;GEO;4000.0;;2009;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5;Backup for other JCSATs.;Japan;USA;EU;communication_and_positionning
1091;Jiading-1;China;Space OK (Shanghai Ok Space Co Ltd.);Commercial;Communications;Internet of Things (IoT);LEO;45.0;;2018;;Shanghai Ok Space Co Ltd.;China;Long March 2D;First in planned Xianyung LEO constellation for Internet of Things connectivity.;China;China;China;communication_and_positionning
1092;Jilin-1;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;42.0;;2019;;Chang Guang Satellite Technology Co. Ltd.;China;Long March 11;First sea launch for China.;China;China;China;earth_observation_and_surveillance
1093;Jilin-1;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging (video);LEO;95.0;;2015;;Chang Guang Satellite Technology Co. Ltd.;China;Long March 2D;High resolution video imaging.;China;China;China;earth_observation_and_surveillance
1094;Jilin-1;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging (video);LEO;95.0;;2015;;Chang Guang Satellite Technology Co. Ltd.;China;Long March 2D;High resolution video imaging.;China;China;China;earth_observation_and_surveillance
1095;Jilin-1 Gaofen 02A;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Multispectral Imaging;LEO;95.0;;2019;;Chang Guang Satellite Technology Co. Ltd.;China;Kuaizhou 1A;High resolution multi-spectral imaging.;China;China;China;earth_observation_and_surveillance
1096;Jilin-1 Gaofen 02B;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2019;;Chang Guang Satellite Technology Co. Ltd.;China;Kuaizhou 1A;High resolution optical imaging.;China;China;China;earth_observation_and_surveillance
1097;Jilin-1 Kuanfu-1;China;Chang Guang Satellite Technology Co. Ltd. ;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2020;;Chang Guang Satellite Technology Co. Ltd.;China;Long March 2D;New type of optical camera with a wide field-of-view and high resolution, and is also capable of high-speed data transmission;China;China;China;earth_observation_and_surveillance
1098;Jilin-1;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;400.0;;2015;;Chang Guang Satellite Technology Co. Ltd.;China;Long March 2D;High resolution earth-imaging. First commercial satellite for earth observation in China.;China;China;China;earth_observation_and_surveillance
1099;Jilin-1-10;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Multispectral Imaging;LEO;95.0;;2019;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 11;;China;China;China;earth_observation_and_surveillance
1100;Jilin-1;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;400.0;;2017;;Chang Guang Satellite Technology Co. Ltd.;China;Kuaizhou;High resolution earth-imaging. First commercial satellite for earth observation in China.;China;China;China;earth_observation_and_surveillance
1101;Jilin-1-4;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2017;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 6;First of a large all purpose constellation.;China;China;China;earth_observation_and_surveillance
1102;Jilin-1-5;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2017;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 6;;China;China;China;earth_observation_and_surveillance
1103;Jilin-1-6;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2017;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 6;;China;China;China;earth_observation_and_surveillance
1104;Jilin-1-7;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2018;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 11;;China;China;China;earth_observation_and_surveillance
1105;Jilin-1-8;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;95.0;;2018;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 11;;China;China;China;earth_observation_and_surveillance
1106;Jilin-1-9;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation;Multispectral Imaging;LEO;95.0;;2019;3.0;Chang Guang Satellite Technology Co. Ltd.;China;Long March 11;;China;China;China;earth_observation_and_surveillance
1107;Jingshi-1;China;Chinese University Corporation for Polar Research;Civil;Earth Observation;Optical Imaging/Automatic Identification System (AIS);LEO;16.0;;2019;;Shenzhen Aerospace Dongfanghong Development Ltd.;China;Long March 4B;Study polar ice, also examine by AIS ships traversing polar region.;China;China;China;earth_observation_and_surveillance
1108;JYISat;Jordan;Crown Prince Foundation;Civil;Communications;Amateur Radio;LEO;2.0;;2018;;Royal Jordanian Radio Amateur Society;Jordan;Falcon 9;Build up space capability related to cubesat development in Jordan.;ROW;ROW;USA;communication_and_positionning
1109;Kaituo-1A;China;China Aerospace Science and Technology Corp. (CASC);Government;Technology Development;;LEO;130.0;;2015;;China Aerospace Science and Technology Corp. (CASC);China;Long March 6;;China;China;China;increase_mission_performance_and_technology
1110;Canopus-B;Russia;Scientific Production Corporation (joint stock creation of Russian Space Agency);Government;Earth Observation;Optical Imaging;LEO;400.0;110;2012;5.0;All-Russia Research Institute of Electromechanics (NPP VNIIEM);Russia;Soyuz-Fregat;Will provide users with operational hydro-meteorological information.;Russia;Russia;Russia;earth_observation_and_surveillance
1111;Kanopus-V-IK-2;Russia;Roscosmos State Corporation;Government;Earth Observation;Optical Imaging;LEO;500.0;;2017;;Roscosmos;Russia;Soyuz 2.1a;Also carries an infrared sensor to detect and localize the source of wildfires.;Russia;Russia;Russia;earth_observation_and_surveillance
1112;Kanopus-V-IK-3;Russia;Roscosmos State Corporation;Government;Earth Observation;Optical Imaging;LEO;500.0;;2018;;Roscosmos;Russia;Soyuz 2.1a;Will provide multiple Russian government agencies with black-and-white and color observations of Earth.;Russia;Russia;Russia;earth_observation_and_surveillance
1113;Kanopus-V-IK-4;Russia;Roscosmos State Corporation;Government;Earth Observation;Optical Imaging;LEO;500.0;;2018;;Roscosmos;Russia;Soyuz 2.1a;Will provide multiple Russian government agencies with black-and-white and color observations of Earth.;Russia;Russia;Russia;earth_observation_and_surveillance
1114;Kanopus-V-IK-5;Russia;Roscosmos State Corporation;Government;Earth Observation;Optical Imaging;LEO;500.0;;2018;;Roscosmos;Russia;Soyuz 2.1a;Will provide multiple Russian government agencies with black-and-white and color observations of Earth.;Russia;Russia;Russia;earth_observation_and_surveillance
1115;Kanopus-V-IK-6;Russia;Roscosmos State Corporation;Government;Earth Observation;Optical Imaging;LEO;500.0;;2018;;Roscosmos;Russia;Soyuz 2.1a;Will provide multiple Russian government agencies with black-and-white and color observations of Earth.;Russia;Russia;Russia;earth_observation_and_surveillance
1116;KazEOSat-1;Kazakhstan;Kazcosmos;Government;Earth Observation;Optical Imaging;LEO;830.0;;2014;7.25;Airbus Defence and Space;France;Vega;High-resolution observation satellite owned by Kazakhstan, tasks including monitoring of natural and agricultural resources, provision of mapping data, and support for rescue operations in the event of a natural disaster.;ROW;EU;EU;earth_observation_and_surveillance
1117;KazEOSat-2;Kazakhstan;Kazcosmos;Government;Earth Observation;Optical Imaging;LEO;185.0;;2014;7.0;Surrey Satellite Technology Ltd.;UK;Dnepr;Medium-resolution observaton satellite owned by Kazakshstan.;ROW;ROW;ROW;earth_observation_and_surveillance
1118;KazSat-2;Kazakhstan;JSC KazSat;Commercial;Communications;;GEO;1300.0;;2011;12.0;Khrunichev;Russia;Proton M;Replaced KazSat-1.;ROW;Russia;Russia;communication_and_positionning
1119;KazSat-3;Kazakhstan;JSC KazSat;Commercial;Communications;;GEO;;;2014;15.0;Thales Alenia Space;Italy;Proton M;Communications satellite for Kazakhstan to provide point-to-point links, TV and high-speed Internet.;ROW;EU;Russia;communication_and_positionning
1120;KazSciSat-1;Kazakhstan;Ghalam LLP;Commercial;Earth Science;;LEO;4.0;;2018;;Surrey Satellite Technology Ltd.;Kazakhstan;Falcon 9;Examine the Earth’s ionosphere to identify the effects of natural and man-made impacts on the Earth’s magnetic field.;ROW;ROW;USA;earth_observation_and_surveillance
1121;KazSTSAT;Kazakhstan;Ghalam LLP;Commercial;Earth Observation;Optical Imaging;LEO;100.0;;2018;5.0;Surrey Satellite Technology Ltd.;UK;Falcon 9;Part of Disaster Monitoring Constellation (DMC). Wide-angle imaging.;ROW;ROW;USA;earth_observation_and_surveillance
1122;Kent Ridge 1;Singapore;National University of Singapore;Civil;Earth Observation;Optical Imaging;LEO;78.0;;2015;;National University of Singapore;Singapore;PSLV-C29;Medium resolution hyperspectral camera and shortwave infrared hyperspectral camera. Its secondary payload is a real-time high resolution video camera.;ROW;ROW;USA;earth_observation_and_surveillance
1123;Kepler-2 CASE;Canada;Kepler Communications;Commercial;Communications;;LEO;4.0;;2018;;Kepler Communications;Canada;PSLV;Planned constellation of commercial data relay nanosatellites.;ROW;ROW;India;communication_and_positionning
1124;KestrelEye IIM;USA;US Army Space and Missile Defense Command/Army Forces Strategic Command;Military;Earth Observation/Technology Development;Optical Imaging;LEO;50.0;;2017;;US Army Space and Missile Defense Command/Army Forces Strategic Command;USA;Nanorack Deployer;Small, low-cost, visible-imagery satellite designed to provide near real-time images to the tactical-level ground Soldier.;USA;USA;USA;earth_observation_and_surveillance
1125;USA 186;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Optical Imaging;LEO;18000.0;10000;2005;5.0;Lockheed Martin;USA;Titan IV;"$1 billion satellite; last use of Titan IV as launch vehicle.";USA;USA;USA;earth_observation_and_surveillance
1126;USA 224;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Optical Imaging;LEO;18000.0;10000;2011;5.0;Lockheed Martin;USA;Delta 4 Heavy;Believed to be KH-11 class.;USA;USA;USA;earth_observation_and_surveillance
1127;USA 245;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Optical Imaging;LEO;18000.0;10000;2013;5.0;Lockheed Martin;USA;Delta 4 Heavy;Believed to be KH-11 class.;USA;USA;USA;earth_observation_and_surveillance
1128;USA 290;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Optical Imaging;LEO;18000.0;10000;2019;5.0;Lockheed Martin;USA;Delta 4 Heavy;Believed to be KH-11 class, Improved Crystal Block 5.;USA;USA;USA;earth_observation_and_surveillance
1129;KhalifaSat;United Arab Emirates;Emirates Institution for Advanced Science & Technology (EIAST);Government;Earth Observation;Optical Imaging;LEO;330.0;;2018;;Mohammed bin Rashid Space Center;United Arab Emirates;H2A;First observation satellite built in the UAE.;ROW;ROW;Japan;earth_observation_and_surveillance
1130;KIPP-1;United Kingdom;Kepler Communications;Commercial;Communications;Internet of Things (IoT);LEO;10.0;;2018;;Clyde Space;UK;Long March 11;"Testbed for projected 130 satellite constellation supporting the ""Internet of Things"" needing low-latency, low-cost communications paths.";EU;ROW;China;communication_and_positionning
1131;Kirameki-2;Japan;Ministry of Defense;Military;Communications;;GEO;;;2017;15.0;Mitsubishi Electric;Japan;H2A;X-Band satellite dedicated to military. ;Japan;Japan;Japan;communication_and_positionning
1132;KJSY-1;China;Tsinghua University;Civil;Technology Development;;LEO;1.0;;2015;;Tsinghua University;China;Long March 6;Released from Naxing 2 satellite after insertion into orbit.;China;China;China;increase_mission_performance_and_technology
1133;KKS-1;Japan;Tokyo Metropolitan College of Industrial Technology;Civil;Technology Development;;LEO;3.0;;2009;1.0;Tokyo Metropolitan College of Industrial Technology;Japan;H2A;Experiments on micro-thrusters, basic experiments on 3-axis attitude control and take land images with a camera.;Japan;Japan;Japan;increase_mission_performance_and_technology
1134;KL-Alpha-A ;China/Germany;Innovation Academy for Microsatellites (CAS)/unnamed German firm;Commercial;Technology Development;;LEO;;;2019;;Unknown;Unknown;Kuaizhou 1A;Technology demonstration in Ka-band communications.;Int_coop;ROW;China;increase_mission_performance_and_technology
1135;KL-Alpha-B;China/Germany;Innovation Academy for Microsatellites (CAS)/unnamed German firm;Commercial;Technology Development;;LEO;;;2019;;Unknown;Unknown;Kuaizhou 1A;Technology demonstration in Ka-band communications.;Int_coop;ROW;China;increase_mission_performance_and_technology
1136;Kompsat-2;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation/Technology Development;Optical Imaging;LEO;800.0;;2006;3.0;Korea Aerospace Research Institute (KARI)/ EADS Astrium;South Korea/France/UK/Germany;Rokot;High-resolution, multispectral images of Earth's surface.;ROW;ROW;Russia;earth_observation_and_surveillance
1137;Kompsat-3;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation;Optical Imaging;LEO;980.0;;2012;4.0;Korea Aerospace Research Institute (KARI)/ EADS Astrium;South Korea/France/UK/Germany;H2A;Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role.;ROW;ROW;Japan;earth_observation_and_surveillance
1138;Kompsat-3A;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation;Optical Imaging;LEO;980.0;;2015;4.0;Korea Aerospace Research Institute (KARI);South Korea;Dnepr;Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role.;ROW;ROW;ROW;earth_observation_and_surveillance
1139;Kompsat-5;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation;Radar Imaging;LEO;1400.0;;2013;5.0;Korea Aerospace Research Institute (KARI);South Korea;Dnepr;To develop the first Korean SAR (Synthetic Aperture Radar) Satellite;ROW;ROW;ROW;earth_observation_and_surveillance
1140;Cosmos 2487;Russia;Ministry of Defense;Military;Earth Observation;Radar Imaging;LEO;1150.0;;2013;;NPO Mashinostroyeniya;Russia;Strela;Radar imaging satellite.;Russia;Russia;Russia;earth_observation_and_surveillance
